               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081798,            0.023126,            0.082706,           0.0014522,             0.19168,           0.0026947,          0.00056677,             0.05045,            0.013226,            0.058145,           0.0033295,           0.0033295,            0.070034
                   1,            0.052457,            0.023854,            0.080566,           0.0023745,             0.67778,            0.011606,            0.002966,            0.047697,            0.010819,            0.055809,           0.0065309,           0.0065309,            0.039903
                   2,            0.047178,            0.020063,            0.079364,            0.004821,             0.89936,            0.061924,            0.018754,            0.037494,           0.0084159,            0.053931,           0.0096003,           0.0096003,           0.0096386
                   3,            0.042371,            0.017928,            0.077685,             0.46501,             0.27512,             0.16971,             0.10117,            0.023394,           0.0061375,            0.047517,            0.009406,            0.009406,            0.009406
                   4,            0.039484,            0.016456,            0.073059,              0.2733,             0.56405,             0.38205,             0.21248,             0.02319,           0.0055343,            0.038031,            0.009406,            0.009406,            0.009406
                   5,              0.0382,            0.015504,            0.066697,             0.47187,             0.66952,             0.58931,             0.27881,            0.025951,           0.0052232,            0.029997,            0.009208,            0.009208,            0.009208
                   6,            0.037104,            0.014908,            0.061145,             0.56532,             0.80359,             0.72572,             0.47432,            0.019943,           0.0049818,            0.022627,             0.00901,             0.00901,             0.00901
                   7,            0.036376,            0.014463,            0.056295,             0.61366,             0.77955,             0.74105,             0.39441,            0.025361,           0.0052298,            0.021044,            0.008812,            0.008812,            0.008812
                   8,            0.035465,            0.014063,            0.052415,             0.75696,             0.87962,             0.86688,             0.50073,            0.021484,           0.0045324,            0.014292,            0.008614,            0.008614,            0.008614
                   9,            0.035001,            0.013849,            0.049242,             0.83419,             0.91577,             0.93236,             0.61975,             0.01911,           0.0041412,            0.011699,            0.008416,            0.008416,            0.008416
                  10,            0.034474,            0.013555,            0.047065,             0.86938,             0.92325,             0.95697,             0.63493,            0.019323,           0.0041256,           0.0090559,            0.008218,            0.008218,            0.008218
                  11,            0.033778,            0.013337,            0.044649,              0.8552,             0.94622,             0.96279,             0.61718,            0.019104,            0.004085,           0.0082401,             0.00802,             0.00802,             0.00802
                  12,            0.033104,            0.013029,            0.043296,             0.89644,             0.96004,             0.98127,             0.68964,            0.017594,           0.0038572,           0.0060472,            0.007822,            0.007822,            0.007822
                  13,            0.032658,            0.012843,            0.041072,             0.94941,             0.96954,             0.98631,             0.71345,            0.016383,           0.0037377,           0.0046504,            0.007624,            0.007624,            0.007624
                  14,            0.031959,             0.01258,            0.040215,             0.95875,             0.95906,             0.98678,             0.70737,            0.016618,           0.0036519,           0.0043338,            0.007426,            0.007426,            0.007426
